mental,random,story,math
0.439952834,0.467560182,0.56665813,0.495598438
0.68064313,0.631730987,0.61351398,0.658065173
0.538512382,0.449598777,0.602763799,0.518349288
0.592553534,0.580400713,0.521969027,0.49704145
0.598153006,0.594879653,0.514943983,0.57959476
0.476376097,0.473825233,0.679584488,0.590197419
0.514523601,0.488840674,0.521698855,0.577734558
0.401141464,0.36464798,0.440159032,0.37009252
0.530124783,0.535191371,0.537130583,0.434284038
0.474416169,0.536237222,0.462357146,0.531025337
0.430565126,0.562458976,0.522132592,0.573469053
0.595074994,0.581685556,0.553437577,0.52029806
0.57789015,0.636106922,0.736935308,0.724342485
0.53988497,0.617424625,0.473271723,0.474168952
0.702368147,0.7046913,0.700761716,0.673348614
0.403381296,0.487649259,0.548148414,0.493076581
0.414645571,0.508594871,0.532943878,0.574239672
0.689284392,0.524182902,0.576094069,0.587672486
0.679855953,0.549368395,0.518168985,0.532593478
0.617981239,0.641319494,0.489687648,0.544211962
0.793793975,0.771210132,0.627428264,0.683887737
0.192524902,0.226944121,0.144478334,0.195832159
0.590439864,0.423498017,0.762512717,0.600778763
0.27806313,0.263595413,0.650901728,0.607318094
0.611126095,0.710607182,0.700959462,0.705454711
0.587006634,0.475851834,0.568974239,0.599023723
0.555556116,0.563010786,0.726712353,0.600847117
0.374595823,0.376603218,0.358185472,0.448327429
0.584897535,0.651853339,0.655239681,0.640904832
0.370968482,0.421904071,0.500208317,0.521163552
0.482481141,0.590676824,0.612866386,0.581417856
0.715662833,0.721638425,0.578884869,0.520990537
0.673310476,0.688715823,0.717435754,0.64732054
0.720300906,0.596476403,0.606733155,0.52928515
0.469044397,0.475521591,0.454640737,0.488208092
0.808603628,0.727648228,0.684805985,0.582478226
0.518367537,0.582717014,0.66395823,0.620445425
0.451708725,0.399309262,0.532814422,0.526112782
0.629297328,0.659832789,0.670500459,0.678109875
0.539443536,0.452235762,0.473419541,0.219514205
0.344427465,0.392529121,0.282917058,0.336686574
0.528454111,0.595607788,0.572202897,0.576603341
0.496936721,0.505987564,0.376534772,0.492821644
0.500414276,0.566437835,0.659320595,0.536283641
0.37005126,0.382621021,0.404318449,0.360748757
0.595615081,0.624091902,0.677566424,0.621554236
0.468394002,0.433909717,0.499279093,0.435370479
0.451311861,0.393821249,0.44784464,0.519658878
0.541736702,0.333730902,0.53927507,0.313595091
0.536958812,0.561496137,0.646911583,0.595440768
0.560936466,0.586597706,0.669226203,0.513381681
0.445957847,0.367508494,0.480265766,0.478366105
0.513233702,0.427055509,0.370213096,0.374195441
0.62496783,0.593676211,0.583538123,0.636838588
0.539226449,0.557840806,0.622510635,0.545145374
0.61342707,0.566878354,0.646603613,0.508503345
0.309871298,0.307547746,0.33731305,0.394065725
0.757429482,0.674730242,0.770359375,0.772721713
